ITEM	Languages_studied	Language_families	Vol	Issue	Year
Inside in French	French	Indo-European	28	1	2017
Semantically-based functions of noun-class markers in Tagbana	Tagbana	Niger-Congo	28	1	2017
Using schema theory to support a whole-word approach to phonological acquisition	English	Indo-European	28	1	2017
Volume 27 Issue 4 Volume 27 Issue 4 - Special Issue: Cognitive Linguistics: Looking Back, Looking Forward, Guest Editors: Dagmar Divjak, Natalia Levshina, and Jane Klavan	NA	NA	NA	NA	NA
Cognitive Linguistics: Looking Back, Looking Forward	NA	NA	27	4	2016
Working toward a synthesis	English	Indo-European	27	4	2016
Cognitive Linguistics’ seven deadly sins	English	Indo-European	27	4	2016
What corpus-based Cognitive Linguistics can and cannot expect from neurolinguistics	English	Indo-European	27	4	2016
Towards cognitively plausible data science in language research	Serbian	Indo-European	27	4	2016
The sociosemiotic commitment	English	Indo-European	27	4	2016
Why Cognitive Linguistics must embrace the social and pragmatic dimensions of language and how it could do so more seriously	English	Indo-European	27	4	2016
Why Cognitive Linguistics must embrace the social and pragmatic dimensions of language and how it could do so more seriously	German	Indo-European	27	4	2016
Turning back to experience in Cognitive Linguistics via phenomenology	English	Indo-European	27	4	2016
Turning back to experience in Cognitive Linguistics via phenomenology	Bulgarian	Indo-European	27	4	2016
Turning back to experience in Cognitive Linguistics via phenomenology	Thai	Kra-Dai	27	4	2016
Does historical linguistics need the Cognitive Commitment? Prosodic change in East Slavic	Slavic	Indo-European	27	4	2016
Typology and the future of Cognitive Linguistics	Greek	Indo-European	27	4	2016
Typology and the future of Cognitive Linguistics	French	Indo-European	27	4	2016
Typology and the future of Cognitive Linguistics	Irish	Indo-European	27	4	2016
Typology and the future of Cognitive Linguistics	English	Indo-European	27	4	2016
Typology and the future of Cognitive Linguistics	Dutch	Indo-European	27	4	2016
Cognitive Linguistics, gesture studies, and multimodal communication	English	Indo-European	27	4	2016
Volume 27 Issue 3	NA	NA	NA	NA	NA
Stability of familiarity judgments: Individual variation and the invariant bigger picture	Dutch	Indo-European	27	3	2016
Linguistic, gestural, and cinematographic viewpoint: An analysis of ASL and English narrative	American Sign Language	Sign Language	27	3	2016
Linguistic, gestural, and cinematographic viewpoint: An analysis of ASL and English narrative	English	Indo-European	27	3	2016
Constructing signs: Place as a symbolic structure in signed languages	American Sign Language	Sign Language	27	3	2016
Baseline and elaboration	English	Indo-European	27	3	2016
Volume 27 Issue 2	NA	NA	NA	NA	NA
Metaphor in culture: LIFE IS A SHOW in Chinese	Chinese	Sino-Tibetan	27	2	2016
When do language comprehenders mentally simulate locations?	English	Indo-European	27	2	2016
With the future coming up behind them: Evidence that Time approaches from behind in Vietnamese	Vietnamese	Austro-Asiatic	27	2	2016
When variables align: A Bayesian multinomial mixed-effects model of English permissive constructions	English	Indo-European	27	2	2016
The role of DO-auxiliary in subject-auxiliary inversion: Developing Langacker’s notion of existential negotiation	English	Indo-European	27	2	2016
Volume 27 Issue 1	NA	NA	NA	NA	NA
Machine Meets Man: Evaluating the Psychological Reality of Corpus-based Probabilistic Models	Russian	Indo-European	27	1	2016
Embodying metaphors: Signed language interpreters at work	Swedish Sign Language	Sign Language	27	1	2016
Cognitive Grammar and gesture: Points of convergence, advances and challenges	German	Indo-European	27	1	2016
The emergence of disjunction: A history of constructionalization in Chinese	Chinese	Sino-Tibetan	27	1	2016
Volume 26 Issue 4	NA	NA	NA	NA	NA
How do gerunds conceptualize events? A diachronic study	English	Indo-European	26	4	2015
Cognitive vs. generative construction grammar: The case of coercion and argument structure	English	Indo-European	26	4	2015
Moving beyond ‘Next Wednesday’: The interplay of lexical semantics and constructional meaning in an ambiguous metaphoric statement	English	Indo-European	26	4	2015
The expression of non-actual motion in Swedish, French and Thai	Swedish	Indo-European	26	4	2015
The expression of non-actual motion in Swedish, French and Thai	French	Indo-European	26	4	2015
The expression of non-actual motion in Swedish, French and Thai	Thai	Kra-Dai	26	4	2015
Volume 26 Issue 3	NA	NA	NA	NA	NA
The polysemy of the Spanish verb sentir: A behavioral profile analysis	Spanish	Indo-European	26	3	2015
A constructional analysis of English un-participle constructions	English	Indo-European	26	3	2015
Judgment evidence for statistical preemption: It is relatively better to vanish than to disappear a rabbit, but a lifeguard can equally well backstroke or swim children to shore	English	Indo-European	26	3	2015
Volume 26 Issue 2	NA	NA	NA	NA	NA
A multiple-grammar model of speakers’ linguistic knowledge	Japanese	Japonic	26	2	2015
“Making meaning”: Communication between sign language users without a shared language	British Sign Language	Sign Language	26	2	2015
“Making meaning”: Communication between sign language users without a shared language	International Sign	Sign Language	26	2	2015
“Making meaning”: Communication between sign language users without a shared language	Jordanian Sign Language	Sign Language	26	2	2015
“Making meaning”: Communication between sign language users without a shared language	Japanese Sign Language	Sign Language	26	2	2015
“Making meaning”: Communication between sign language users without a shared language	Indonesian Sign Language	Sign Language	26	2	2015
Co-forming real space blends in tactile signed language dialogues	Norwegian Sign Language	Sign Language	26	2	2015
Co-forming real space blends in tactile signed language dialogues	Swedish Sign Language	Sign Language	26	2	2015
Visualizing onomasiological change: Diachronic variation in metonymic patterns for woman in Chinese	Chinese	Sino-Tibetan	26	2	2015
Culture or language: what drives effects of grammatical gender?	Norwegian	Indo-European	26	2	2015
Volume 26 Issue 1	NA	NA	NA	NA	NA
Competing constructions: The pluralization of presentational haber in Dominican Spanish	Spanish	Indo-European	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Avatime	Niger-Congo	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Cha’palaa	Barbacoan	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Chintang	Sino-Tibetan	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Duna	Trans-New Guinea	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	English	Indo-European	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Italian	Indo-European	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Lao	Tai-Kadai	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Chinese	Sino-Tibetan	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Semai	Austro-Asiatic	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Siwu	Niger-Congo	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Spanish	Indo-European	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Tzeltal	Mayan	26	1	2015
Vision verbs dominate in conversation across cultures, but the ranking of non-visual verbs varies	Whitesands	Austronesian	26	1	2015
Cognitive grammar, speech acts, and interpersonal dynamics: A study of two directive constructions in Polish	Polish	Indo-European	26	1	2015
Is conceptual blending the key to the mystery of human evolution and cognition?	English	Indo-European	26	1	2015
From hand-carved to computer-based: Noun-participle compounding and the upward strengthening hypothesis	English	Indo-European	26	1	2015
